seed,seed_ci,p_seat_first,p_seat_first_ci,load_scale,load_scale_ci,n_seats,n_seats_ci,n_windows,n_windows_ci,arrivals,arrivals_ci,served,served_ci,balk_food,balk_food_ci,abandon_seat,abandon_seat_ci,abandon_ratio,abandon_ratio_ci,people_arrived,people_arrived_ci,people_served,people_served_ci,pre_claimed_share,pre_claimed_share_ci,instant_claim_share,instant_claim_share_ci,seat_effective_util,seat_effective_util_ci,seat_nominal_util,seat_nominal_util_ci,seat_idle_util,seat_idle_util_ci,seat_idle_pre_util,seat_idle_pre_util_ci,seat_idle_walk_util,seat_idle_walk_util_ci,seat_clean_util,seat_clean_util_ci,seat_free_util,seat_free_util_ci,seat_waste_ratio,seat_waste_ratio_ci,seat_turnover_per_hour,seat_turnover_per_hour_ci,pk_effective_util,pk_effective_util_ci,pk_nominal_util,pk_nominal_util_ci,pk_idle_pre_util,pk_idle_pre_util_ci,pk_free_util,pk_free_util_ci,seat_effective_util_w2,seat_effective_util_w2_ci,seat_nominal_util_w2,seat_nominal_util_w2_ci,seat_idle_pre_util_w2,seat_idle_pre_util_w2_ci,spill_ratio,spill_ratio_ci,served_rate,served_rate_ci,full_house_ratio,full_house_ratio_ci,group_blocked_ratio,group_blocked_ratio_ci,food_wait_mean,food_wait_mean_ci,food_wait_p95,food_wait_p95_ci,seat_wait_mean,seat_wait_mean_ci,seat_wait_p95,seat_wait_p95_ci,seat_wait_served_mean,seat_wait_served_mean_ci,tray_wait_mean,tray_wait_mean_ci,sf_seat_wait_mean,sf_seat_wait_mean_ci,total_time_mean,total_time_mean_ci,total_time_p95,total_time_p95_ci,sf_total_mean,sf_total_mean_ci,qf_total_mean,qf_total_mean_ci,wait_person_min,wait_person_min_ci,wait_person_min_per_head,wait_person_min_per_head_ci,p,scenario
1012.5,2.829016319029167,0.0,0.0,1.15,0.0,200.0,0.0,8.0,0.0,1172.0833333333333,11.923333333333336,1095.6666666666667,8.757178311572533,0.0,0.0,76.41666666666667,5.547377454109059,0.06502701280940576,0.004314598948379063,1172.0833333333333,11.923333333333336,1095.6666666666667,8.757178311572533,0.0,0.0,0.0,0.0,0.8207165879826923,0.003293772165298738,0.8481067041971931,0.003481306020353391,0.027390116214500354,0.0002191009450274095,0.0,0.0,0.027390116214500354,0.0002191009450274095,0.02202626125442188,8.998268874480439e-05,0.1298670345483849,0.00351240565848026,0.0,0.0,3.6522222222222225,0.02919059437190845,0.9050962258435438,0.0026821748205080103,0.9360232671044154,0.0027016831067856258,0.0,0.0,0.0639767328955846,0.0027016831067856258,0.5664281958753302,0.004371085304217156,0.5846893069864414,0.004504670026127657,0.0,0.0,0.08680238088746584,0.00606724348099,0.9349729871905943,0.004314598948379058,0.7236111111111111,0.009880546608778525,0.0,0.0,4.010753765978766,0.21738033470808674,9.017807984687263,0.4989174984511424,7.951531111116655,0.19840685811630052,14.998789923914117,0.001846721314496083,7.465628737262228,0.17941623560070363,7.465628737262228,0.17941623560070363,,,26.306675089575975,0.31460885757990736,41.3350633687642,0.5300850481921804,,,26.306675089575975,0.31460885757990736,5549.253705303313,308.24871504991955,4.723580941830238,0.2228452889233433,0.0,busy
1012.5,2.829016319029167,0.05000000000000001,2.835844417291751e-18,1.15,0.0,200.0,0.0,8.0,0.0,1172.0833333333333,11.923333333333336,1076.0833333333333,8.065699037664595,0.0,0.0,96.0,7.220801673747467,0.08167263987621058,0.005627639747236079,1172.0833333333333,11.923333333333336,1076.0833333333333,8.065699037664595,0.047321286600934244,0.0028178403705736298,0.010101025970260058,0.0011253199235520346,0.8073795430916176,0.0031394367067673866,0.8470986242455253,0.003680849190324332,0.03971908115390733,0.001384465762718748,0.014205864636212004,0.0013515090661838432,0.025513216517695326,0.00022562664300936395,0.021679447668326236,9.807146460218504e-05,0.13122192808614844,0.0036981973308707113,0.016753779755571765,0.001571332776683471,3.5869444444444447,0.026885663458881975,0.8861815509390194,0.0032431426199488163,0.9368223449368033,0.0026883028144633154,0.02205657120993768,0.002103148286393603,0.06317765506319666,0.002688302814463315,0.5561462325228267,0.004083756229777835,0.5826265311691904,0.004577391479852396,0.009470576424141335,0.000901006044122562,0.08306117748173386,0.006114949081737899,0.9183273601237895,0.00562763974723608,0.719212962962963,0.009542795464611923,0.0,0.0,3.6222856114933273,0.20688705179610226,8.457227969670049,0.48617978532182554,8.395115706735297,0.20052889623475426,14.999822629907717,0.00034764538087692635,7.813197354008794,0.17808359516223662,7.862283391541698,0.17975564885008416,6.929841594151958,0.30173849293712945,26.261930235486023,0.3006470630112197,41.1280420426934,0.47240886525646847,25.49147145702537,0.6048544938763185,26.304837466501997,0.2956262780189843,5345.038795384438,298.40483610134584,4.549704656428658,0.2160783137568814,0.05,busy
1012.5,2.829016319029167,0.10000000000000002,5.671688834583502e-18,1.15,0.0,200.0,0.0,8.0,0.0,1172.0833333333333,11.923333333333336,1057.9166666666667,7.257253809137556,0.0,0.0,114.16666666666667,7.888377312119236,0.09713235948042985,0.006027710633156276,1172.0833333333333,11.923333333333336,1057.9166666666667,7.257253809137556,0.09227310189055,0.0034381861956049894,0.020769701747566552,0.0018719329156872584,0.7960284932898937,0.0026817102350759634,0.8446865662022803,0.0036463784756304326,0.04865807291238625,0.0018485103172287958,0.024915326864104647,0.001798052939405168,0.0237427460482816,0.00020845043855769298,0.02143505900422335,0.00010372370211685318,0.13387837479349637,0.0036468933629262477,0.029464011836614488,0.0020503857776993967,3.526388888888889,0.024190846030458495,0.8717305187505519,0.0036295827800638726,0.9375556698149458,0.0026793112208601745,0.039326015688650275,0.002568058545717366,0.062444330185054304,0.0026793112208601745,0.5468434390550275,0.0035457285021209496,0.5792828236310973,0.004384859743722257,0.016610217909403095,0.0011987019596034457,0.07724557312359398,0.006151629530985077,0.90286764051957,0.0060277106331562795,0.7129629629629629,0.008809840407533086,0.0,0.0,3.2303697684767823,0.2008476148219109,7.813524842961955,0.48078775333063406,8.691856107330466,0.1827337830699425,15.0,1.4818926532874842e-16,8.018525544627648,0.16048323843976206,8.118317055876854,0.1670987161972596,7.157249130344638,0.26287700474533576,26.077583400401693,0.2876595139431997,40.5653657152298,0.45140827771339886,25.136618975812326,0.41330865132688555,26.18674016928038,0.29301422171977676,5135.9105520195335,296.1679490609282,4.371179054452966,0.21574995478875927,0.1,busy
1012.5,2.829016319029167,0.15,0.0,1.15,0.0,200.0,0.0,8.0,0.0,1172.0833333333333,11.923333333333336,1040.75,5.975391685663916,0.0,0.0,131.33333333333334,8.637149176303476,0.11172466699253776,0.006447584304776417,1172.0833333333333,11.923333333333336,1040.75,5.975391685663916,0.13503310828534376,0.0038674945944351803,0.03083882223840817,0.0023426065868113848,0.7861713501856927,0.002501365331035009,0.8408588605022125,0.0036713389838656262,0.05468751031651958,0.002326439489821568,0.03262788139586784,0.002309620663126381,0.022059628920651737,0.00017809712211606013,0.021237137794228613,0.0001121027600641296,0.13790400170355888,0.0036586003338998046,0.038756569465102024,0.002635697361823396,3.4691666666666663,0.01991797228554636,0.8616550107136449,0.00425162501199631,0.9381316829531278,0.002658427015189884,0.05181599318766755,0.003348248306333123,0.0618683170468723,0.0026584270151898837,0.5380264476120463,0.0028750195379538706,0.5744860074315138,0.003934998312940998,0.021751920930578567,0.0015397471087509208,0.06992325461076974,0.005508724819316979,0.8882753330074623,0.006447584304776417,0.7039351851851853,0.007959657170601852,0.0,0.0,2.8289069169164005,0.1794251226598389,7.083687015118847,0.45198359917822883,8.887081095360562,0.17638138919990046,15.0,0.0,8.123827576273854,0.15335855391835979,8.244723817398473,0.1604895596798644,7.457975758895137,0.20305001422342137,25.78349486295602,0.265995752230866,39.959884248815925,0.43535990514760825,25.102486294920656,0.3395096618400015,25.907984682146928,0.27411103115320634,4918.2294989250595,282.89503679014285,4.185796919054496,0.2053626234661291,0.15,busy
1012.5,2.829016319029167,0.20000000000000004,1.1343377669167004e-17,1.15,0.0,200.0,0.0,8.0,0.0,1172.0833333333333,11.923333333333336,1025.2083333333333,5.4538309785869945,0.0,0.0,146.875,9.330953727447593,0.12495190600505181,0.006910272111811605,1172.0833333333333,11.923333333333336,1025.2083333333333,5.4538309785869945,0.17478315542075284,0.0040278944459989615,0.04066993579378948,0.0026313830335907913,0.7774888836294288,0.002716596030015917,0.8354145279215665,0.0036883399249978154,0.05792564429213731,0.002457181570792946,0.03741797766240938,0.0024583643627786003,0.020507666629727934,0.00017999394239546435,0.021126233468706467,0.00011329142416662156,0.143459238609727,0.0036781053811144613,0.04474482958632677,0.0028281743221274976,3.4173611111111115,0.01817943659528997,0.8555613923008428,0.004631156287998941,0.9386246973077458,0.002650189003252615,0.06006625526922075,0.0037270181225220965,0.061375302692254184,0.002650189003252615,0.5300610613044711,0.0027853058613897907,0.568679296412744,0.003709133923197336,0.024945318441606256,0.0016389095751857333,0.06098033001624811,0.005023208587250374,0.8750480939949482,0.006910272111811603,0.6932870370370371,0.008000033314998916,0.0,0.0,2.4315775982857897,0.16226458316254208,6.266510677514049,0.4188256894352302,9.029836443704951,0.16830288318711134,15.0,0.0,8.18263699386693,0.1472545356307388,8.330283710866272,0.15297238539136382,7.594257774189487,0.20766439964396055,25.445477335845613,0.24086912952738923,39.20062771842655,0.3926147051886532,24.8140687835789,0.3395708959616715,25.604177899440458,0.24538451068413786,4698.3974189108885,272.47658970390404,3.9987983614758007,0.19938162626351372,0.2,busy
1012.5,2.829016319029167,0.25,0.0,1.15,0.0,200.0,0.0,8.0,0.0,1172.0833333333333,11.923333333333336,1012.6666666666666,5.57334841548476,0.0,0.0,159.41666666666666,10.274884227752635,0.13562047969662436,0.007664678742888921,1172.0833333333333,11.923333333333336,1012.6666666666666,5.57334841548476,0.21589958164526402,0.004555238229392552,0.05078315609685193,0.002569449302921232,0.7705082292823843,0.003284797112810958,0.8298270247412735,0.0037204691107984335,0.05931879545888852,0.0024827996809882523,0.04032817045888879,0.0025102532774473256,0.018990624999999733,0.00021611288324891,0.02106584337418256,0.00011397522671599975,0.14910713188454403,0.0037224757445978164,0.04856876791330755,0.002946300624656354,3.375555555555555,0.018577828051615862,0.852843349089444,0.005013099673434285,0.9390837140553542,0.0026252689921748146,0.06486434822318274,0.004068636341302468,0.060916285944645765,0.0026252689921748146,0.5234358559635182,0.00291713748727218,0.5629831084916663,0.003513527740326766,0.026885446972592528,0.0016735021849648836,0.05286621835431297,0.004552129330931841,0.8643795203033756,0.007664678742888921,0.6851851851851851,0.008045214270273925,0.0,0.0,2.0382023992452276,0.14756507003483887,5.457154695037988,0.3987444326682527,9.129303512876787,0.15965662068600192,15.0,0.0,8.213255469691711,0.13679812980917144,8.372217988809288,0.14363514469349029,7.738169386949269,0.18370198950583289,25.079586810950797,0.22389533399071096,38.54107806082996,0.3644365715887367,24.514592256061206,0.2912968470767708,25.26697979222189,0.232725637727907,4456.701615373212,273.7490733987327,3.792261549632169,0.20182905719498728,0.25,busy
1012.5,2.829016319029167,0.3,0.0,1.15,0.0,200.0,0.0,8.0,0.0,1172.0833333333333,11.923333333333336,1002.25,5.199410362333602,0.0,0.0,169.83333333333334,10.652495840546019,0.14448832541288265,0.0078587390017053,1172.0833333333333,11.923333333333336,1002.25,5.199410362333602,0.2563903832201044,0.005381980576586749,0.06106711908230723,0.002754417280322054,0.7649804541452557,0.003426124452487165,0.82346227481047,0.0038385066782482286,0.058481820665213874,0.0025646308902362047,0.04093587927564884,0.0025692593486481164,0.01754594138956503,0.0002051128701476493,0.021031990694373656,0.00010424232102189126,0.1555057344951565,0.0038508808219104617,0.04968049035036937,0.0030329425875976253,3.3408333333333338,0.017331367874445336,0.8539857968468354,0.005294787917818726,0.939435727864392,0.0026197853508238326,0.06556477752234911,0.004546151467322586,0.06056427213560798,0.0026197853508238326,0.5180065470152161,0.0027649966856899233,0.5569950498656487,0.0033120195759881515,0.027290586183765897,0.001712839565765411,0.045371929799216615,0.00353581160697657,0.8555116745871173,0.007858739001705296,0.6749999999999999,0.007415390223498434,0.0,0.0,1.6259628123986811,0.14510535553391124,4.543012635680337,0.4082697454718839,9.197670717029448,0.15629905252516588,15.0,0.0,8.222472780149323,0.13574135213104635,8.390726820474157,0.14884084948261947,7.830331466517216,0.15683974850415416,24.674588667105798,0.21615777634603028,37.62335526079481,0.3877845327432813,24.106041603538632,0.2365012107524596,24.918153586900335,0.23889188279613166,4177.56270395594,276.31347300348506,3.5541436662987764,0.20725176376542198,0.3,busy
1012.5,2.829016319029167,0.3499999999999999,2.268675533833401e-17,1.15,0.0,200.0,0.0,8.0,0.0,1172.0833333333333,11.923333333333336,996.0,4.842855188503121,0.0,0.0,176.08333333333334,11.3865201047826,0.1497813200696241,0.008399869142131523,1172.0833333333333,11.923333333333336,996.0,4.842855188503121,0.2978221020126119,0.005851189279337119,0.0714346612752475,0.003328119676974835,0.7617414878649624,0.0035214694048861317,0.818310768948356,0.0036251056454041516,0.056569281083393076,0.0024706933483019454,0.04039275736653044,0.0024871658869346468,0.016176523716862647,0.0001904610060426528,0.02103715867610571,0.00010796751913306204,0.16065207237553822,0.003636267013986508,0.049339988406927694,0.0029754370915230513,3.3200000000000003,0.016142850628343704,0.8578145402946954,0.0052867496362620755,0.9397911443978342,0.0025793199680423495,0.06347778446260738,0.004530879871024483,0.06020885560216582,0.0025793199680423495,0.5148294230714107,0.0027084578310810872,0.5525433446490978,0.00298765199063188,0.02692850491102029,0.0016581105912897645,0.040001443021694776,0.0033914344941507754,0.8502186799303759,0.008399869142131523,0.6680555555555555,0.007508940815000319,0.0,0.0,1.2676441779078482,0.12911661255342224,3.7351433133756706,0.37994671344537323,9.241024151372612,0.15164445446062166,15.0,0.0,8.23069812668231,0.13246433224505832,8.396034156480392,0.14088954685689914,7.926972005974375,0.17751074769041406,24.325597041556424,0.20418595354118937,36.88162618296848,0.3252483334937402,23.889480189745267,0.24110977845120937,24.56329631128861,0.2252412972923982,3903.1501601622645,266.509394415142,3.3206600813135094,0.20158465945952184,0.35,busy
1012.5,2.829016319029167,0.4000000000000001,2.268675533833401e-17,1.15,0.0,200.0,0.0,8.0,0.0,1172.0833333333333,11.923333333333336,992.7083333333334,4.733083977408183,0.0,0.0,179.375,11.934357371453446,0.15256124133832571,0.008824605205175404,1172.0833333333333,11.923333333333336,992.7083333333334,4.733083977408183,0.33759706652715266,0.006606157056118379,0.08052800285766977,0.003834989282927304,0.760258045306994,0.0034376539266355354,0.8138336987296051,0.0033734703833384716,0.053575653422610836,0.00253310271429571,0.03864464647321696,0.0025872921981499324,0.01493100694939388,0.00018464224381654562,0.021084655582635763,0.00011211173076935362,0.1650816456877591,0.003389946765592613,0.04746523224544715,0.0031216557435579232,3.3090277777777772,0.015776946591360624,0.8637893621941224,0.005351230785637886,0.9400274453676265,0.00256406511953074,0.0589542311054325,0.004684234986369386,0.059972554632373505,0.00256406511953074,0.5131649369485352,0.002530184535152971,0.5488828957084578,0.0026834071082079474,0.02576309764881131,0.0017248614654332883,0.03583438849529437,0.0028604758607879643,0.8474387586616743,0.008824605205175404,0.6627314814814814,0.006731508061444825,0.0,0.0,0.9380398543033076,0.11937688674075933,2.9532507995840507,0.3820620605585225,9.2599778576014,0.14716034044477766,15.0,0.0,8.2300994626155,0.1308586843319187,8.35876912724436,0.13871933828138275,8.040462613084555,0.1896823604943329,23.99669674345971,0.18603487668947774,36.1579697114067,0.2774954379862138,23.741277558999304,0.23279881178353515,24.169773485502642,0.1981429869848961,3620.718885156273,262.85767900921786,3.079752122897519,0.20058710803009583,0.4,busy
1012.5,2.829016319029167,0.45,0.0,1.15,0.0,200.0,0.0,8.0,0.0,1172.0833333333333,11.923333333333336,991.7916666666666,5.071659236922266,0.0,0.0,180.29166666666666,12.488686005344864,0.15332223505026957,0.009276080981363621,1172.0833333333333,11.923333333333336,991.7916666666666,5.071659236922266,0.3796825711002378,0.006676455654015493,0.09087504417626346,0.0040499006639768955,0.7601452946712267,0.0037463363159074884,0.8110131660831783,0.003275535820128132,0.050867871411951315,0.0024072128434134655,0.037191123803639516,0.0024796976293928103,0.013676747608311795,0.00018848641707119282,0.021132060132829606,0.00011806545828416511,0.16785477378399213,0.0033137389054884205,0.04585345027085571,0.0030383648514435077,3.305972222222222,0.016905530789740893,0.8695307022141883,0.005210665269773397,0.9402311322231723,0.0025543540981177336,0.05463522855991659,0.004511043222360736,0.05976886777682763,0.0025543540981177336,0.5126738421856237,0.0026854071431165567,0.546586604022074,0.002545862299765677,0.024794706280894672,0.0016528086064554433,0.03344364818566437,0.0025048631090751512,0.8466777649497305,0.009276080981363627,0.6585648148148149,0.007119208091105104,0.0,0.0,0.6841082723090972,0.10260197677781153,2.2978938195816534,0.35368515762902064,9.269869780567134,0.14830825817132307,15.0,0.0,8.235150316876858,0.13553325686303416,8.356301516803859,0.1528003854650578,8.091211705496447,0.17009987870747198,23.74684767929953,0.17985892683951157,35.67043252142249,0.26651326603441683,23.55426453732201,0.21424457145700246,23.905148492004553,0.2128069617741447,3381.557781904408,261.92461522519636,2.875409407497468,0.20017161151601134,0.45,busy
