p,sf_total_mean,qf_total_mean,tray_wait_mean,sf_seat_wait_mean,wait_person_min_per_head,abandon_ratio,seat_turnover_per_hour
0.0,,26.306675089575975,7.465628737262228,,4.723580941830238,0.06502701280940576,3.6522222222222225
0.05,25.49147145702537,26.304837466501997,7.862283391541698,6.929841594151958,4.549704656428658,0.08167263987621058,3.5869444444444447
0.1,25.136618975812326,26.18674016928038,8.118317055876854,7.157249130344638,4.371179054452966,0.09713235948042985,3.526388888888889
0.15,25.102486294920656,25.907984682146928,8.244723817398473,7.457975758895137,4.185796919054496,0.11172466699253776,3.4691666666666663
0.2,24.8140687835789,25.604177899440458,8.330283710866272,7.594257774189487,3.9987983614758007,0.12495190600505181,3.4173611111111115
0.25,24.514592256061206,25.26697979222189,8.372217988809288,7.738169386949269,3.792261549632169,0.13562047969662436,3.375555555555555
0.3,24.106041603538632,24.918153586900335,8.390726820474157,7.830331466517216,3.5541436662987764,0.14448832541288265,3.3408333333333338
0.35,23.889480189745267,24.56329631128861,8.396034156480392,7.926972005974375,3.3206600813135094,0.1497813200696241,3.3200000000000003
0.4,23.741277558999304,24.169773485502642,8.35876912724436,8.040462613084555,3.079752122897519,0.15256124133832571,3.3090277777777772
0.45,23.55426453732201,23.905148492004553,8.356301516803859,8.091211705496447,2.875409407497468,0.15332223505026957,3.305972222222222
0.5,23.408423555501994,23.67533902757153,8.372252263072154,8.14534042531583,2.6702841337803025,0.15245417677991688,3.3093055555555555
0.55,23.319667079136874,23.547245170028575,8.357514118552736,8.237839794444591,2.522588262663436,0.15094318972604523,3.3152777777777778
0.6,23.281073912114465,23.41952089652175,8.353814034065492,8.277781061586431,2.4212047089695417,0.15005377786207122,3.31875
0.65,23.26423355183717,23.345354597940602,8.362499808612023,8.316789804132434,2.3466263881449323,0.14906564763114385,3.322638888888889
0.7,23.255579522706,23.32184791342689,8.339627919375534,8.355393308989223,2.315183340942798,0.14889217698735568,3.3233333333333337
0.75,23.26123368675162,23.265182335067138,8.357270049094554,8.357636083369307,2.306295230569638,0.14942578077022897,3.3212500000000005
0.8,23.22606961452124,23.37758279081505,8.460543299115677,8.345997924695077,2.296173025771706,0.14971512863516248,3.320138888888889
0.85,23.232923894043296,23.31305807604834,8.42391279878946,8.357772758030176,2.3052413627789825,0.15082466071109735,3.3158333333333334
0.9,23.24723135250746,23.312620922011064,8.436150695631277,8.377287672846862,2.301297209263747,0.1509639084699599,3.3152777777777778
0.95,23.240930738646785,23.553151215363,8.530944551023481,8.380268807967626,2.3077925179334207,0.15167091556720413,3.3125
