plan,seat_effective_util,seat_turnover_per_hour,abandon_ratio,seat_wait_mean,served,food_wait_mean,total_time_mean
现状 (占座率 40%),0.760258045306994,3.3090277777777772,0.15256124133832571,9.2599778576014,992.7083333333334,0.9380398543033076,23.99669674345971
禁止占座 (p = 0),0.8207165879826923,3.6522222222222225,0.06502701280940576,7.951531111116655,1095.6666666666667,4.010753765978766,26.306675089575975
加 30 个座位 (200→230),0.736195144556711,3.2022946859903385,0.056957755520744204,7.7624803388115495,1104.7916666666667,1.6215619310387013,23.78069462768458
加 3 个窗口 (8→11),0.7724136500469978,3.354861111111111,0.14083862804300082,9.235201198730435,1006.4583333333334,0.021764075670753103,23.14326139391766
加窗口 + 禁占座,0.7795843335670419,3.385138888888889,0.1330914949329103,9.032962951625125,1015.5416666666666,0.27002894376502645,23.216950855762736
加座位 + 禁占座,0.7786664218996839,3.397342995169082,0.0,4.309638937739397,1172.0833333333333,4.225002356630841,23.351304456942596
