n_seats,p,eff,eff_ci,turn,ab,wait,served
160,0.0,0.8393323318887191,0.004157742350050359,3.7454166666666664,0.2318189088071349,10.69357084824362,898.9
160,0.2,0.8001647287920586,0.004691084787218471,3.524583333333333,0.2768724635102954,10.889863664817165,845.9
160,0.4,0.796271334861439,0.007246303838529863,3.4875,0.28439708551583975,10.929136528868398,837.0
160,0.6,0.7995821249692723,0.005923473543806623,3.5016666666666665,0.2815234937113502,10.961354395546246,840.4
160,0.8,0.7968827287790626,0.005572676141702181,3.4908333333333337,0.28377113694404443,10.998375881730189,837.8
160,1.0,0.7936786681289048,0.005195029192908323,3.4775,0.28651585754933806,11.025174845145841,834.6
175,0.0,0.83151476155369,0.005574971022252759,3.7051428571428575,0.16889247188142723,9.898312148392804,972.6
175,0.2,0.7927819392628443,0.0027929975052074984,3.48952380952381,0.2169842648955254,10.292491967519444,916.0
175,0.4,0.7826016877975865,0.006963479265052754,3.4186666666666667,0.2327200955055956,10.360366959289518,897.4
175,0.6,0.7864290030710793,0.005634613569918136,3.43352380952381,0.2294331846520751,10.400310412096635,901.3
175,0.8,0.7842862374428543,0.006156777038613709,3.4251428571428577,0.23130732648834798,10.441339276831533,899.1
175,1.0,0.7813337058739758,0.005964138312753401,3.412952380952381,0.23405847921313808,10.477095466518154,895.9
190,0.0,0.8244209463428159,0.005324290227750544,3.6719298245614027,0.10574253737849085,8.88873210301685,1046.5
190,0.2,0.7858082268459335,0.002899367610752482,3.4596491228070176,0.15715389387036424,9.590518612851906,986.0
190,0.4,0.7714311699919091,0.0055868335216234495,3.365614035087719,0.17987837976811877,9.769696186591322,959.2
190,0.6,0.7740805711423557,0.005601307332859624,3.372631578947369,0.17820813700863575,9.819059590030516,961.2
190,0.8,0.772577082473993,0.005497074912328452,3.366315789473685,0.1797536951402951,9.865670067432891,959.4
190,1.0,0.7701659910471661,0.0056808211294312756,3.3568421052631576,0.18206239038912958,9.907785757863817,956.7
200,0.0,0.8193836146339197,0.004931453477160721,3.6440000000000006,0.0658391407626325,8.03708994619262,1093.2
200,0.2,0.7789852830358295,0.0033481436042857226,3.428000000000001,0.12093640652467057,9.038225636204007,1028.4
200,0.4,0.7625247312572705,0.00545337757954444,3.324666666666667,0.14722974742334488,9.339984867101842,997.4
200,0.6,0.7670459323781603,0.005274866991962424,3.339666666666667,0.14341027349884758,9.430417866519127,1001.9
200,0.8,0.7658194285943897,0.005011141563193267,3.3346666666666662,0.1446992091174229,9.481205309115094,1000.4
200,1.0,0.763037562571015,0.004664448969424263,3.3226666666666667,0.14780057445294426,9.522714846814562,996.8
215,0.0,0.811700540545137,0.005664196489812268,3.6034108527131785,0.0069856677548507246,6.357401646676451,1162.1
215,0.2,0.7710415373650679,0.003115749004151301,3.395658914728682,0.0639310301854268,8.069457392169527,1095.1
215,0.4,0.7509745284140787,0.005396094326887921,3.2744186046511623,0.09714518250947833,8.629498764930965,1056.0
215,0.6,0.7534937860304779,0.006408785799355846,3.2759689922480617,0.0967115195513049,8.758916826433367,1056.5
215,0.8,0.7533675980026222,0.005771668630943176,3.2762790697674418,0.09664828330116923,8.827473387288098,1056.6
215,1.0,0.7507821886179565,0.0056607786936040344,3.2654263565891477,0.09965469915491272,8.880810403212578,1053.1
230,0.0,0.7773781046550847,0.0089746101690191,3.392173913043478,0.0,4.3857388514111255,1170.3
230,0.2,0.7605838289927564,0.004915999498724729,3.345507246376811,0.013568814951667282,6.788851108474434,1154.2
230,0.4,0.7380793619396769,0.004633338422668005,3.2171014492753622,0.05112304249271167,7.765612554735419,1109.9
230,0.6,0.7371812422140008,0.005995248923718217,3.201449275362319,0.055669342243348,7.980037762367301,1104.5
230,0.8,0.7402653589644492,0.004775867470388927,3.2142028985507247,0.051968473762285514,8.07410403746951,1108.9
230,1.0,0.7381455207185244,0.0043763088384078585,3.205797101449275,0.05443909770100104,8.129434088026324,1106.0
250,0.0,0.7209308479770427,0.009736242126163757,3.1208,0.0,2.263636465825817,1170.3
250,0.2,0.7175477782663906,0.008446446678120443,3.1208,0.0,4.4732691667956015,1170.3
250,0.4,0.7117275703372897,0.006760796974629784,3.0970666666666666,0.007456706387710238,6.261639535094284,1161.4
250,0.6,0.7077175363674917,0.006717542476771994,3.0685333333333333,0.01644940870702747,6.764331328910359,1150.7
250,0.8,0.7131613197646075,0.00737476351987665,3.0898666666666665,0.009721545679037946,6.812400288951983,1158.7
250,1.0,0.7126029046777977,0.007079978859492667,3.0877333333333334,0.010394997600424134,6.877880531323713,1157.9
