cap,p,served,served_rate,abandon_ratio,seat_wait_mean,seat_effective_util,seat_effective_util_w2,seat_idle_pre_util,seat_turnover_per_hour,spill_ratio,food_wait_mean,served_ci,served_rate_ci,abandon_ratio_ci,seat_wait_mean_ci,seat_effective_util_ci,seat_effective_util_w2_ci,seat_idle_pre_util_ci,seat_turnover_per_hour_ci,spill_ratio_ci,food_wait_mean_ci
6.0,0.0,975.7916666666666,0.8326451103607369,0.16735488963926326,4.151289342270271,0.7516422432483866,0.5043555510637989,0.0,3.252638888888889,0.01767049313312059,3.7292261859608935,9.147665253460687,0.004652910365505345,0.004652910365505343,0.06696724182015215,0.006265153095877237,0.0046022602304460125,0.0,0.030492217511535632,0.0027368560478059707,0.21574222829466336
6.0,0.2,902.875,0.7706215880992171,0.22937841190078298,4.241506709379155,0.6955709839388526,0.4659300024889494,0.03250545929490681,3.009583333333333,0.01036114512692508,2.3297149192385924,5.22486325318594,0.006089332605239404,0.006089332605239404,0.06376287018633778,0.0041784368244215,0.0027447360587651067,0.002522705284107934,0.017416210843953124,0.001151793236711491,0.1699059359708057
6.0,0.4,871.75,0.744166331688464,0.2558336683115359,4.195970839978473,0.6715716848994626,0.4498392012351104,0.03358199748583111,2.9058333333333333,0.008640912955825704,0.8852130897756932,5.11030572839641,0.007923867367089298,0.007923867367089296,0.055256266798531184,0.004438597602923173,0.002846647619711811,0.0028834586704576575,0.017034352427988043,0.0008856788930824368,0.13748114164901867
6.0,0.8,876.2083333333334,0.7479631612956531,0.25203683870434684,4.18621128169458,0.6750109002778263,0.4520204293618995,0.03608065687975954,2.9206944444444445,0.008789764243645769,0.06108426560032884,4.874337995432796,0.007671769866014833,0.007671769866014833,0.05317802858230251,0.004201985287675995,0.0026928652186745798,0.00040585757302829937,0.01624779331810931,0.0009617731424341507,0.0067679402296615815
10.0,0.0,1030.0,0.8789325164392521,0.12106748356074785,6.244156578574651,0.7883196241839577,0.532325970691278,0.0,3.4333333333333336,0.03858303169108892,3.7665335592536464,8.93056305737433,0.004870180362499244,0.004870180362499246,0.12484117570881607,0.004930173867115409,0.004336997086306662,0.0,0.029768543524581113,0.004768348164261363,0.21420694294072548
10.0,0.2,956.25,0.8162007723651921,0.18379922763480797,6.605789804380624,0.7352876592817003,0.49417126192511907,0.03437368112686376,3.1875,0.022039807818806295,2.3409066840061015,5.396452001352237,0.006834440614098455,0.0068344406140984516,0.10552620099274931,0.0037827603752299474,0.002746804610909416,0.00249549921487738,0.01798817333784078,0.0026789340948335755,0.16385203904506834
10.0,0.4,924.8333333333334,0.7894885153497041,0.21051148465029593,6.631307869346198,0.7123584167547522,0.4775087363663862,0.03602020627214409,3.082777777777778,0.012610743698514537,0.9062517300220577,4.700901958885458,0.008206552661518832,0.00820655266151883,0.0921857228623678,0.004087123404150993,0.0027385660675644918,0.002534154462139441,0.015669673196284883,0.0014648267028293986,0.1167449568151733
10.0,0.8,929.8333333333334,0.7937678711193575,0.20623212888064243,6.667518715758065,0.7164270130740613,0.48019086989929355,0.03818201609830527,3.0994444444444444,0.01206624729792497,0.06044531952344049,4.8279828456082905,0.008448658188101888,0.00844865818810189,0.08457837857334265,0.004010349106882688,0.0026528240018120395,0.00041987226565650575,0.016093276152027637,0.0011720227131158483,0.007373667519599074
15.0,0.0,1095.6666666666667,0.9349729871905943,0.06502701280940576,7.951531111116655,0.8207165879826923,0.5664281958753302,0.0,3.6522222222222225,0.08680238088746584,4.010753765978766,8.757178311572533,0.004314598948379058,0.004314598948379063,0.19840685811630052,0.003293772165298738,0.004371085304217156,0.0,0.02919059437190845,0.00606724348099,0.21738033470808674
15.0,0.2,1025.2083333333333,0.8750480939949482,0.12495190600505181,9.029836443704951,0.7774888836294288,0.5300610613044711,0.03741797766240938,3.4173611111111115,0.06098033001624811,2.4315775982857897,5.4538309785869945,0.006910272111811603,0.006910272111811605,0.16830288318711134,0.002716596030015917,0.0027853058613897907,0.0024583643627786003,0.01817943659528997,0.005023208587250374,0.16226458316254208
