load_scale,peak_rate,p,seat_effective_util,seat_turnover_per_hour,abandon_ratio,seat_wait_mean,food_wait_mean,seat_idle_pre_util
0.85,20.4,0.0,0.6684434774803873,2.8916666666666666,0.0,4.050612061408195,0.5034457074824493,0.0
0.85,20.4,0.1,0.6684037090590674,2.8916666666666666,0.0,4.323062245694052,0.3589189677590089,0.005291073644922963
0.85,20.4,0.2,0.6679023346366653,2.8896666666666664,0.0006607929515418502,4.495563864081966,0.24310321546968422,0.009576776311231673
0.85,20.4,0.3,0.6669961916682625,2.8856666666666664,0.001982378854625551,4.629734407969105,0.13610260049552575,0.013842331932342017
0.85,20.4,0.4,0.6670460303781176,2.886,0.0018722466960352422,4.721093327976688,0.09664459092180902,0.017890074173901337
0.85,20.4,0.5,0.6668908761522081,2.8853333333333335,0.002092511013215859,4.794188685776274,0.07038697734002529,0.02199750981882725
0.85,20.4,0.6,0.6667266111141871,2.884666666666667,0.002312775330396476,4.857472675884322,0.05804380681893225,0.026262721668978965
0.85,20.4,0.7,0.6667781527857837,2.8850000000000007,0.0022026431718061676,4.9175853716859965,0.047225162285205825,0.03044868930248998
0.85,20.4,0.8,0.6664966359138594,2.883666666666667,0.0026431718061674008,4.976235505954241,0.0437838910771287,0.03489783879493485
0.85,20.4,0.9,0.6663497652668589,2.883,0.0028634361233480176,5.030483677806162,0.03508433371427488,0.03916519379750076
0.85,20.4,1.0,0.6661093929671595,2.8820000000000006,0.0031938325991189426,5.082921424534723,0.03265564253614718,0.043359744083309
0.9,21.6,0.0,0.7022148812560023,3.039,0.0007360672975814932,4.85899520108314,0.8397027035499732,0.0
0.9,21.6,0.1,0.7009486210792859,3.0336666666666665,0.00241850683491062,5.234282879579656,0.6413152584939305,0.006529065921945644
0.9,21.6,0.2,0.699846802028137,3.028666666666667,0.003991417107355092,5.489454925298867,0.4449437989012487,0.01141819954030246
0.9,21.6,0.3,0.6989019180177706,3.0243333333333333,0.005355116636083819,5.707485090902258,0.22396385256531834,0.015466472156044509
0.9,21.6,0.4,0.6986337509790563,3.0233333333333334,0.005670574049333031,5.8245409972973885,0.13652280003550712,0.01933865865788434
